2.8, {'train_loss_epoch_ave': [tensor(1220531.7500, device='cuda:0')], 'valid_loss_epoch_ave': []}
2.85, {'train_loss_epoch_ave': [tensor(866882.6250, device='cuda:0')], 'valid_loss_epoch_ave': []}
2.9, {'train_loss_epoch_ave': [tensor(540686.9375, device='cuda:0')], 'valid_loss_epoch_ave': []}
2.95, {'train_loss_epoch_ave': [tensor(1024474.5000, device='cuda:0')], 'valid_loss_epoch_ave': []}
3.0, {'train_loss_epoch_ave': [tensor(1064841.3750, device='cuda:0')], 'valid_loss_epoch_ave': []}
3.05, {'train_loss_epoch_ave': [tensor(1057296.7500, device='cuda:0')], 'valid_loss_epoch_ave': []}
3.1, {'train_loss_epoch_ave': [tensor(715312.2500, device='cuda:0')], 'valid_loss_epoch_ave': []}
3.15, {'train_loss_epoch_ave': [tensor(1442974.7500, device='cuda:0')], 'valid_loss_epoch_ave': []}
3.2, {'train_loss_epoch_ave': [tensor(589015.9375, device='cuda:0')], 'valid_loss_epoch_ave': []}
3.25, {'train_loss_epoch_ave': [tensor(750001.5000, device='cuda:0')], 'valid_loss_epoch_ave': []}
3.3, {'train_loss_epoch_ave': [tensor(1075070.2500, device='cuda:0')], 'valid_loss_epoch_ave': []}
3.35, {'train_loss_epoch_ave': [tensor(839788.7500, device='cuda:0')], 'valid_loss_epoch_ave': []}
3.4, {'train_loss_epoch_ave': [tensor(644051.6875, device='cuda:0')], 'valid_loss_epoch_ave': []}
3.45, {'train_loss_epoch_ave': [tensor(613668.6250, device='cuda:0')], 'valid_loss_epoch_ave': []}
3.5, {'train_loss_epoch_ave': [tensor(1127632.2500, device='cuda:0')], 'valid_loss_epoch_ave': []}
3.55, {'train_loss_epoch_ave': [tensor(602790.2500, device='cuda:0')], 'valid_loss_epoch_ave': []}
3.6, {'train_loss_epoch_ave': [tensor(802866.5625, device='cuda:0')], 'valid_loss_epoch_ave': []}
3.65, {'train_loss_epoch_ave': [tensor(1363944.3750, device='cuda:0')], 'valid_loss_epoch_ave': []}
3.7, {'train_loss_epoch_ave': [tensor(1423982., device='cuda:0')], 'valid_loss_epoch_ave': []}
3.75, {'train_loss_epoch_ave': [tensor(675395.4375, device='cuda:0')], 'valid_loss_epoch_ave': []}
3.8, {'train_loss_epoch_ave': [tensor(872549.6875, device='cuda:0')], 'valid_loss_epoch_ave': []}
3.85, {'train_loss_epoch_ave': [tensor(687762.6250, device='cuda:0')], 'valid_loss_epoch_ave': []}
3.9, {'train_loss_epoch_ave': [tensor(946697.9375, device='cuda:0')], 'valid_loss_epoch_ave': []}
3.95, {'train_loss_epoch_ave': [tensor(715130.0625, device='cuda:0')], 'valid_loss_epoch_ave': []}
4.0, {'train_loss_epoch_ave': [tensor(1154570.1250, device='cuda:0')], 'valid_loss_epoch_ave': []}
4.05, {'train_loss_epoch_ave': [tensor(625698.3125, device='cuda:0')], 'valid_loss_epoch_ave': []}
4.1, {'train_loss_epoch_ave': [tensor(1217019.5000, device='cuda:0')], 'valid_loss_epoch_ave': []}
4.15, {'train_loss_epoch_ave': [tensor(696874.4375, device='cuda:0')], 'valid_loss_epoch_ave': []}
4.2, {'train_loss_epoch_ave': [tensor(2644798.7500, device='cuda:0')], 'valid_loss_epoch_ave': []}
